
year	count_date	fish_count	Species	Species_ID	count_location	count_location_ID
"2014"	"07/01"	"10392"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"07/02"	"9240"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"07/03"	"10794"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"07/04"	"9288"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"07/05"	"11574"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"07/06"	"29490"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"07/07"	"29052"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"07/08"	"16872"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"07/09"	"24201"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"07/10"	"20312"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"07/11"	"12606"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"07/12"	"23779"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"07/13"	"31889"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"07/14"	"23118"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"07/15"	"23863"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"07/16"	"20934"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"07/17"	"33144"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"07/18"	"39024"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"07/19"	"16608"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"07/20"	"34104"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"07/21"	"63954"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"07/22"	"44241"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"07/23"	"37492"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"07/24"	"37812"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"07/25"	"29844"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"07/26"	"32013"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"07/27"	"22073"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"07/28"	"31590"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"07/29"	"38565"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"07/30"	"58024"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"07/31"	"66786"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"08/01"	"35535"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"08/02"	"33971"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"08/03"	"50791"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"08/04"	"54803"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"08/05"	"112175"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"08/06"	"63682"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"08/07"	"58124"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"08/08"	"55101"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"08/09"	"53381"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"08/10"	"58086"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"08/11"	"30430"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"08/12"	"15417"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"08/13"	"4484"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
"2014"	"08/14"	"6048"	"Sockeye"	"420"	"Kenai River (late-run sockeye)"	"40"
